Title,Published_date,Views,Likes,Comments,Month
CLASS | Zakir khan | Stand up Comedy | Sukha Puri 8,2025-01-03,617811,65345,1698,Jan
Smart Girl Dating Pattern | Zakir Khan | Stand Up Comedy | Sukha Puri 7,2024-12-27,5287078,257041,5994,Dec
Zakir khan | ​⁠@MadisonSquareGarden Arena Show Announcement | 17th Aug 2025,2024-12-21,93151,7189,306,Dec
Where is the lie???,2024-12-07,193903,11484,94,Dec
Brown rang ka sach!,2024-09-16,867492,46213,613,Sep
Ghar..  “Aapka Apna Zakir” Shraddha Kapoor,2024-08-16,781973,42313,180,Aug
Aap Ka Aapna Zakir  | Promo | Ep 1 & 2,2024-08-07,584407,20793,709,Aug
AAPKA APNA ZAKIR | SONY TV,2024-07-07,317009,11453,289,Jul
Aur Banao,2024-07-04,892141,57535,723,Jul
AAPKA APNA ZAKIR | Teaser | Sony TV | Zakir Khan,2024-06-29,299118,10686,344,Jun
Aage Nikal Gaye-Scene | Chacha Vidhayak Hain Humare S-3 | Zakir Khan | Mini-TV,2024-06-10,66648,2800,95,Jun
Aisa Bhi Kya Rakha Hai Indore Mein-Scene | Chacha Vidhayak Hain Humare S-3 | Zakir | Venus | Mini-TV,2024-06-02,116377,5004,212,Jun
Unheard Stories from Chacha Vidhayak Hain Humare,2024-05-15,106260,3463,111,May
Chacha Vidhayak Hain Humare Season 3 - Official Trailer | Zakir Khan | Amazon miniTV,2024-04-22,440391,16077,708,Apr
Best Friend Vs Girlfriend | Zakir Khan | Stand-Up Comedy | Mannpasand,2024-01-15,11078823,344211,3673,Jan
Zakir Khan | Guitar Wale Ladke | MannPasand,2023-12-20,3556222,122818,2011,Dec
Zakir khan | MannPasand | ladko ke jhoot,2023-12-17,5698811,228530,1095,Dec
Zakir Khan | Neend Vs Ladai | MannPasand | Uncut,2023-12-09,8377953,311180,3940,Dec
Zakir Khan | MannPasand | TRAILER,2023-12-05,500591,17311,273,Dec
Zakir Khan | MannPasand | Teaser,2023-12-04,356232,19860,451,Dec
"Ummeed | Season 2 | Ep 1 | Struggle, Success & Love | ft @KumarVarunOfficial Manoj & Shraddha",2023-11-09,1103939,47417,1248,Nov
Zakir Khan | Royal Albert Hall | After Movie snippet,2023-11-08,139403,10276,309,Nov
Teen kahaniya | Zakir Khan | London | Royal Albert Hall,2023-10-02,278834,18583,601,Oct
Ja aaj ke baad… | Zakir khan | shayari,2023-09-15,1870684,106703,146,Sep
Farzi Mushaira | Zakir Khan | Monsoon Mushaira,2023-08-09,2323881,117571,279,Aug
Farzi Mushaira | Zakir Khan | Episode 30 | Aap Kaun Bhaisahab Feat. @dollysinghofficial,2023-07-16,621605,22383,422,Jul
Farzi Mushaira | Zakir Khan | Episode 29 | Peene Ki Peak Feat. @tanmaybhat @JokeSingh,2023-07-12,502394,19581,502,Jul
Farzi Mushaira | Zakir Khan | Episode 28 | Model Hoon Na Main Feat. @tanmaybhat,2023-07-07,1289164,36646,971,Jul
Farzi Mushaira | Zakir Khan | Episode 27 | Line Kaha Hai Feat. Prachi Desai,2023-07-04,688602,26754,539,Jul
Farzi Mushaira | Episode 26 | Phir Wahi Paise Ki Dikkat | Feat. @tanmaybhat @JokeSingh,2023-07-03,561623,25868,410,Jul
"Farzi Mushaira | Monsoon Edition | Baarish, Rishte Aur Leakage Ft. Manoj Pahwa |  @asianpaints",2023-07-01,1224057,27148,762,Jul
Kohinoor wahi milega Part 2 | Zakir khan,2023-05-08,392139,21165,703,May
Zakir Khan | Farzi Mushaira | Episode 24 | Salona Sa Sajan Hai Aur Main Hun,2023-04-29,669403,20747,515,Apr
